Source,Country,ISO3,ISO2,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,Eval_UNIT,IU_NAME_reported,IU_ID_reported,IU_NAME_2018_spatial,IU_id_2018_spatial,Sub_District,Subdistrict_ID,LocationName,SiteID,LocationType,longitude,latitude,Georeliability,SurveyYear,SurveyMonth,Age_start,Age_end,Survey_type,Diagnostic_type,Diagnostic_method,dgx_level,Examined,Positive,Prevalence,Perc_HighInfection,Perc_ModerateInfection,Species,SpeciesType,Quality,Dups,best_prev,serial_number,citation,publication_year,Composite_IU_ID
GAHI,Uganda,UGA,UG,Northern Region,75,Amolatar,84,null,Asotouboualatar,84,,null,,,Abarler,UGA0016,,32.877200000000002,1.6395,4,2002,,5,16,,Parasitological,Kato-Katz,1,56,31,55.359999999999999,null,null,mansoni,intestinal,2,4,1,78450,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007500084
GAHI,Uganda,UGA,UG,Northern Region,75,Amolatar,84,null,Asotouboualatar,84,,null,,,Opir,UGA0016,,32.826799999999999,1.55203,4,2002,,5,16,,Parasitological,Kato-Katz,1,65,49,75.379999999999995,null,null,mansoni,intestinal,2,4,1,78357,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007500084
GAHI,Uganda,UGA,UG,Eastern Region,76,Moroto,125,null,Sotoubouaroto,125,,null,,,Kakingol,UGA0016,,34.742400000000004,2.5866799999999999,4,1998,,9,18,,Parasitological,Kato-Katz,1,60,1,1.6699999999999999,null,null,mansoni,intestinal,3,4,1,78429,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007600125
GAHI,Uganda,UGA,UG,Eastern Region,76,Moroto,125,null,Sotoubouaroto,125,,null,,,Kakoliye,UGA0016,,34.652700000000003,2.5238800000000001,4,1998,,5,17,,Parasitological,Kato-Katz,1,61,0,0,null,null,mansoni,intestinal,3,4,1,78341,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007600125
GAHI,Uganda,UGA,UG,Eastern Region,76,Moroto,125,null,Sotoubouaroto,125,,null,,,Kaloi,UGA0016,,34.620699999999999,2.5505200000000001,4,1998,,7,21,,Parasitological,Kato-Katz,1,62,0,0,null,null,mansoni,intestinal,3,4,1,78522,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007600125
GAHI,Uganda,UGA,UG,Eastern Region,76,Moroto,125,null,Sotoubouaroto,125,,null,,,Moroto Mc,UGA0016,,34.657699999999998,2.5364,4,1998,,8,13,,Parasitological,Kato-Katz,1,58,0,0,null,null,mansoni,intestinal,3,4,1,78372,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007600125
GAHI,Uganda,UGA,UG,Eastern Region,76,Moroto,125,null,Sotoubouaroto,125,,null,,,Naitakwae,UGA0016,,34.6372,2.5248300000000001,4,1998,,7,15,,Parasitological,Kato-Katz,1,59,2,3.3900000000000001,null,null,mansoni,intestinal,3,4,1,78532,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007600125
GAHI,Uganda,UGA,UG,Eastern Region,76,Moroto,125,null,Sotoubouaroto,125,,null,,,Nawanatau,UGA0016,,34.611400000000003,2.48088,4,1998,,6,13,,Parasitological,Kato-Katz,1,60,0,0,null,null,mansoni,intestinal,3,4,1,78501,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007600125
GAHI,Uganda,UGA,UG,Northern Region,75,Moyo,126,null,Sotoubouayo,126,,null,,,Aliba,UGA0019,,31.550000000000001,3.2296499999999999,4,2003,,6,14,,Parasitological,Kato-Katz,1,120,42,35,null,null,mansoni,intestinal,2,3,1,78572,"Kabatereine NB, Brooker S, Koukounari A, Kazibwe F, Tukahebwa EM, Fleming FM, Zhang Y, Webster JP, Stothard JR, Fenwick F (2007) Impact of a national helminth control programme on infection and morbidity in Ugandan schoolchildren. Bulletin of the World Health Organization, 85:91-99.",2007,AUGA0007500126
GAHI,Uganda,UGA,UG,Northern Region,75,Moyo,126,null,Sotoubouayo,126,,null,,,Aliba,UGA0016,,31.550000000000001,3.2296499999999999,4,2002,,5,16,,Parasitological,Kato-Katz,1,58,36,62.07,null,null,mansoni,intestinal,2,3,0,78480,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007500126
AFRO,Uganda,UGA,UG,Northern Region,5124,Adjumani,49707,null,ADJUMANI,49707,Adjumani,49707,,,Ajugopi P/S,18434,,31.912099999999999,3.4318,3,2011,,null,null,,Parasitological,Kato-Katz,1,50,4,8,null,null,mansoni,intestinal,1,3,1,38758,,null,AUGA0512449707
AFRO,Uganda,UGA,UG,Northern Region,5124,Adjumani,49707,null,ADJUMANI,49707,Adjumani,49707,,,Ajugopi P/S,62894,,31.912099999999999,3.4318,3,2011,,null,null,,Parasitological,Kato-Katz,1,50,3,6,null,null,mansoni,intestinal,1,3,0,38759,,null,AUGA0512449707
AFRO,Uganda,UGA,UG,Northern Region,5124,Adjumani,49707,null,ADJUMANI,49707,Adjumani,49707,,,Ajujo P/S,18435,,31.745999999999999,3.4710000000000001,3,2015,,null,null,,Parasitological,Kato-Katz,1,60,0,0,null,null,mansoni,intestinal,1,0,1,38769,,null,AUGA0512449707
AFRO,Uganda,UGA,UG,Northern Region,5124,Adjumani,49707,null,ADJUMANI,49707,,null,,,Alere 1,18436,,null,null,99,2001,,null,null,,Parasitological,Kato-Katz,1,59,7,11.859999999999999,null,null,mansoni,intestinal,2,0,1,38765,,null,AUGA0512449707
GAHI,Uganda,UGA,UG,Northern Region,75,Moyo,126,null,Sotoubouayo,126,,null,,,Ayiri,UGA0016,,31.9252,3.556,4,1998,,8,20,,Parasitological,Kato-Katz,1,58,46,79.310000000000002,null,null,mansoni,intestinal,3,4,1,78311,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007500126
GAHI,Uganda,UGA,UG,Northern Region,75,Moyo,126,null,Sotoubouayo,126,,null,,,Belameling,UGA0016,,31.611699999999999,3.4778500000000001,4,1998,,8,14,,Parasitological,Kato-Katz,1,74,38,51.350000000000001,null,null,mansoni,intestinal,3,4,1,78386,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007500126
GAHI,Uganda,UGA,UG,Northern Region,75,Moyo,126,null,Sotoubouayo,126,,null,,,Dufile,UGA0019,,31.9252,3.556,4,2003,,6,14,,Parasitological,Kato-Katz,1,120,39,32.5,null,null,mansoni,intestinal,2,3,1,78561,"Kabatereine NB, Brooker S, Koukounari A, Kazibwe F, Tukahebwa EM, Fleming FM, Zhang Y, Webster JP, Stothard JR, Fenwick F (2007) Impact of a national helminth control programme on infection and morbidity in Ugandan schoolchildren. Bulletin of the World Health Organization, 85:91-99.",2007,AUGA0007500126
GAHI,Uganda,UGA,UG,Northern Region,75,Moyo,126,null,Sotoubouayo,126,,null,,,Dufile,UGA0016,,31.9252,3.556,4,2002,,5,16,,Parasitological,Kato-Katz,1,60,40,66.670000000000002,null,null,mansoni,intestinal,2,3,0,78379,"Kabatereine NB, Tukahebwa EM, Kazibwe F, Twa-Twa JM, Barenzi JF, Zaramba S, Stothard JR, Fenwick A, Brooker S (2005) Soil-transmitted helminthiasis in Uganda: epidemiology and cost of control. Trop Med Int Health, 10:1187-1189.",2005,AUGA0007500126
